Código Materia;Nombre;Créditos;Prerequisitos(?:)*;Corequisitos(?:)*;Estado;Descripción
ISIS 1404;TI en las Organizaciones;3;ISIS 1221;;Pendiente;Este curso presenta diferentes formas de una organización (empresa, grupo social, organización formal o informal, etc. sea ésta proveedora de bienes o servicios relacionados con tecnologías de información –TI- o beneficiaria de estos bienes o servicios) haciendo énfasis en TI como elemento fundamental para articular la organización con su entorno y facilitar el logro de sus objetivos. Para esto se analizan diversos conceptos -estructura organizacional, cultura organizacional, cambio, cadena de valor, procesos de negocios, tecnología de información, y la información misma- y su importancia desde TI para potenciar el logro de los objetivos de la organización.  En este marco, al finalizar el curso el estudiante: Tendrá una visión general de una organización en términos de su misión, visión, valores, estrategia, estructura, funcionamiento, cadena de valor, procesos de negocio, etc. Tendrá capacidad de entender una organización, a diferentes niveles de abstracción, para identificar elementos relevantes de acuerdo con un contexto o a una necesidad específica. Tendrán la capacidad comprender el papel de la información en la organización y el valor agregado de su adecuada gestión a través de TI
ISIS 2503;Arquitectura y Diseño de Software;3;ISIS 2603;;Pendiente;El propósito de este curso es desarrollar habilidades en las áreas de DISEÑO y arquitectura de software, apoyándose en herramientas metodológicas como los estilos de arquitectura, los patrones (e.g. DISEÑO, arquitectura) y los modelos empresariales. Igualmente, se pretende desarrollar la capacidad de usar y entender el impacto de la tecnología en la arquitectura del software. El curso pretende desarrollar las competencias de definir, justificar, implementar y evaluar una arquitectura de software para un problema en el mundo empresarial. Al finalizar el curso el estudiante debe estar en capacidad de: Identificar los principales atributos de calidad del software (disponibilidad, desempeño, modificabilidad, seguridad) y su impacto en el DISEÑO y desarrollo de software. Utilizar los requerimientos funcionales y requerimientos de calidad para seleccionar los estilos arquitecturales y patrones de DISEÑO más apropiados para el DISEÑO de una solución. Utilizar los conceptos básicos de arquitecturas de software para definir una estrategia de desarrollo. Esto significa, identificar los elementos del mundo de la solución – los componentes de software, sus propiedades visibles externamente y las relaciones entre ellos – para estructurar y organizar el proceso de desarrollo de software. Utilizar adecuadamente los patrones (e.g. DISEÑO, arquitectura) y los estilos de arquitectura para explicar el DISEÑO de un sistema. Explicar y proponer una solución a los problemas de interacción entre los componentes. Justificar cómo una solución responde a los requerimientos y restricciones de un negocio. Comprender y desarrollar habilidades en el uso de tecnologías para el apoyo de arquitecturas de software. En particular en el uso de XML, SOA, JSF, JEE. Realizar una aplicación mediana usando el modelo empresarial por componentes JEE. Diseñar e implementar experimentos para validar propiedades de calidad en el DISEÑO de una solución. 
ISIS 2403;Arquitectura Empresarial;3;ISIS 1404;;Pendiente;El objetivo de este curso es estudiar la manera de entender una problemática de TI en una estructura compleja como la de una empresa, y expresar la solución como un conjunto de requerimientos de muchos tipos, agrupados alrededor de proyectos. Para esto, el curso comienza viendo que una arquitectura empresarial incluye múltiples dimensiones, entre las cuales se encuentran la arquitectura de negocio, la arquitectura de datos, la arquitectura de aplicaciones y la arquitectura de tecnología Se hace especial énfasis en el análisis de los procesos de negocio y la manera como se soportan en las distintas dimensiones de la arquitectura empresarial. Al final del curso, se esPeña que el estudiante esté en capacidad de:   Explicar qué es una arquitectura empresarial (AE), las dimensiones que incluye y las relaciones existentes entre ellas. Definir un proyecto de construcción de una EA Hacer el levantamiento de los elementos de la arquitectura de negocio que están dentro del alcance definido para una AE y expresarlos con los formalismos adecuados Hacer el levantamiento de los elementos de la arquitectura de información, de los elementos de la arquitectura de aplicaciones y de los elementos de la arquitectura de tecnología que están dentro del alcance definido para una AE y expresarlos con los formalismos adecuados. Construir las matrices que relacionan los elementos de las distintas dimensiones de la AE (procesos vs. entidades de negocio, procesos vs. aplicaciones, aplicaciones vs. entidades de negocio, entidades de negocio vs. elementos tecnológicos, otros) Construir en contextos controlados y pequeños una arquitectura objetivo, unas arquitecturas de transición, un mapa de ruta de proyectos y un DISEÑO para cada uno de los proyectos. Construir en contextos controlados y pequeños el blueprint de una arquitectura de solución Definir en contextos controlados y pequeños un portafolio de servicios (negocio, funcionalidad, entidad e infraestructura) como parte de la arquitectura de solución. 
ISIS 2304;Sistemas Transaccionales;3;ISIS 1206?ISIS 1226;;Pendiente;El objetivo del curso es estudiar la problemática de persistencia y acceso compartido de grandes volúmenes de datos en sistemas transaccionales. El curso comienza mostrando que el sistema transaccional a desarrollar es uno de los proyectos identificados en una fase previa de análisis de requerimientos, para garantizar que la solución esté alineada con los objetivos estratégicos de la organización y que cumpla con unos estándares y principios establecidos. Se hace especial énfasis en la dimensión información de una arquitectura empresarial, apoyándose en la tecnología de bases de datos en la dimensión de tecnología. 
ISIS 2007;Diseño de Productos e Innovación en TI;3;ISIS 2603:LENG 2999;;Pendiente;Este curso se encuentra situado en la línea de formación en proyectos e innovación en el programa de Ingeniería en la Universidad de los Andes. Después de la experiencia en primer semestre para el desarrollo de proyectos con ExpoAndes, durante un año los estudiantes van a trabajar en la definición y desarrollo de proyectos de innovación con tecnología informática. Estos proyectos tienen la ambición de ser sostenibles en el tiempo y competitivos a nivel internacional. Esta dinámica debe verse reforzada con los conocimientos y competencias que se adquieren en la segunda mitad de la formación del ingeniero. Las actividades de los estudiantes en el proyecto de grado, que tiene una vocación de síntesis, pueden ser un factor de éxito para que algunos de estos proyectos iniciados en este curso encuentren un espacio en el mundo empresarial y/o académico. Al final del curso, el estudiante debería estar en la capacidad de: Desarrollar capacidades en la conformación y organización de equipos de trabajo Desarrollar competencias en el desarrollo de proyectos de innovación Desarrollar competencias de comunicación oral y escrita alrededor del desarrollo de proyectos Reforzar los procesos de aprendizaje autónomo Buscar una exposición nacional e internacional de los resultados 
ISIS 2203;Infraestructura Computacional;3;ISIS 1304;;Pendiente;En este curso se estudian las características mas importantes de los requerimientos de la infraestructura computacional que soporta las oPeñaciones de un proyecto o empresa, y los criterios que hay que tener en cuenta para elegirla.  A partir de las anteriores se construyen diferentes alternativas de solución. Los principales ejes de estudio de la Infraestructura son: Dimensionamiento y Definición de la Infraestructura Tecnológica Análisis de Necesidades de Seguridad en Transacciones Análisis de Desempeño de Infraestructura - Experimentación Diagnóstico, Evaluación de Seguridad y Mitigación de Riesgos y Amenazas de Host.   
ISIS 3204;Infraestructura de Comunicaciones;3;ISIS 1105:ISIS 1106:ISIS 1304:ISIS 2403:DERE 1300:LENG 2999:FISI 1028:FISI 1029:MATE 1208;;Pendiente;Este curso presenta bajo un enfoque top-down, las soluciones existentes para lograr implementar aplicaciones distribuidas, particularmente en el contexto de Internet. A través de un recorrido por las capas de la pila TCP/IP se estudian las problemáticas asociadas a la utilización de estas soluciones, principalmente aquellas que tienen que ver con el rendimiento y la seguridad de las aplicaciones. El curso está guiado por casos de estudio que se irán desarrollando de manera práctica a lo largo del semestre. Estos casos incluyen no solamente comunicaciones en el mundo de los datos, sino también en el contexto de los servicios convergentes.  
ISIS 3302;Modelado, Simulacion y Optimizacion;3;ISIS 1105:ISIS 1106:ISIS 1304:DERE 1300:LENG 2999:FISI 1028:FISI 1029:MATE 1208:IIND 2106;;Pendiente;El curso provee al estudiante de herramientas y habilidades necesarias para construir, definir, validar y mejorar modelos para solucionar problemas complejos con tecnología informática. Esto le permitirá realizar el proceso completo que va desde la interacción con un experto de dominio que tiene un problema, hasta que se le presenta una solución en una manera que él pueda entender, evaluar y aplicar.
ISIS 3301;Inteligencia de Negocios;3;ISIS 2304:ISIS 2403:ISIS 1105:ISIS 1106:ISIS 1304:DERE 1300:LENG 2999:FISI 1028:FISI 1029:MATE 1208;;Pendiente;El propósito de este curso es estudiar diferentes escenarios en los procesos de toma de decisiones en las organizaciones, los tipos de análisis e información requeridos en cada uno de ellos, las estrategias de integración y estructuras de datos que se utilizan para soportar dichos análisis, así como algunas metodologías, tecnologías y herramientas de apoyo. Se pretende que al final del curso el estudiante sea capaz de: Entender la misión, visión y objetivos estratégicos de un negocio. Entender las iniciativas estratégicas clave del negocio. Identificar los indicadores clave para cada una de las iniciativas estratégicas y sus relaciones. Determinar los procesos clave que son monitoreados y que se quiere impactar. Entender el papel que puede jugar un programa de Inteligencia de Negocios en el logro de los objetivos estratégicos. Identificar tipos de análisis requeridos. Identificar fuentes de datos potenciales. Identificar y priorizar proyectos, verificando su alineación con los objetivos estratégicos. Seleccionar un proyecto. Definir alcance y recursos del proyecto. Definir roles y participantes. Hacer el plan del proyecto. Definir estrategias de integración de información. Definir componentes de la arquitectura de información: tableros de control, ODS, bodegas de datos. Definir metodologías para el desarrollo de componentes, en particular metodologías para desarrollo de Bodegas de Datos y DataMarts. Desarrollar aplicaciones OLAP, tableros de control, reportes programados. Crear y poblar repositorios de datos. 
ISIS 3710;Programacion con Tecnologias Web;3;ISIS 1105:ISIS 1106:ISIS 1304:ISIS 2503:DERE 1300:LENG 2999:FISI 1028:FISI 1029:MATE 1208;;Pendiente;El propósito del curso, para el estudiante, es adquirir experiencia práctica en el desarrollo de aplicaciones Web. El curso se desarrolla siguiendo las evoluciones e hitos más importantes que ha habido en el desarrollo web desde sus inicios ya sea desde el punto de vista de las tecnologías y/o los nuevos requerimientos de las aplicaciones.  
ISIS 3510;Construcción de Aplicaciones Móviles;3;ISIS 2503:ISIS 3204;;Pendiente;El objetivo de este curso es generar en el estudiante las habilidades necesarias para diseñar y construir soluciones informáticas en situaciones no convencionales, utilizando para esto un proceso de desarrollo de software específico. Se entiende por no convencional, cuando existen restricciones impuestas en una o más de las siguientes dimensiones de los ambientes de ejecución: hardware, tiempo real, almacenamiento, procesamiento, potencia, peso, interfaces, visualización y comunicaciones. Además de las restricciones antes planteadas, se trabaja con soluciones que requieren manejar posición, localización y movilidad como requerimientos básicos.   
ISIS 3007;Proyecto de Grado;3;ISIS 2304:ISIS 2007:ISIS 2203:ISIS 2503:ISIS 3204:IIND 2106:IIND 2401;;Pendiente;El proyecto de grado se concibe como un espacio integrador de los conocimientos y las competencias adquiridas durante la formación. En el marco del programa del plan de un grupo de investigación y desarrollo o de una empresa (con acompañamiento de un grupo de I+D), el estudiante participa activamente en el DISEÑO, implementación y puesta en marcha de una solución con TICs que aporte valor, haciendo énfasis en la dinámica del proyecto como integrador de competencias, el trabajo en equipo y la comunicación. 
IELE 2010;Curso de Materiales;3;MATE 1215:FISI 1028:FISI 1029;IELE 2010L;Pendiente;El curso Materiales para IEE (Ingeniería Eléctrica y Electrónica) está enfocado en mostrar las aplicaciones de productos desde los fundamentos de la ciencia de materiales. El curso pretende dar al estudiante las herramientas para entender la interrelación entre materiales, propiedades, fenómenos, procesos y síntesis. Componentes dinámicas que a lo largo de los procesos emergentes tecnológicos han permitido la evolución de materiales convencionales a activos, la combinación de ello en diseños dando como resultados productos mono y multifuncionales, las cuales han permitido extender sus aplicaciones a múltiples campos como médicos, energéticos, comunicaciones, transporte entre otros.   Los objetivos del curso son: (1) Introducir al estudiante a los fundamentos de materiales partiendo de la relación entre estructura, propiedades, fenómenos, procesos y síntesis y (2) Motivar al estudiante a reconocer e identificar materiales en función de especificaciones de productos y/o aplicaciones
IELE 2010L;Laboratorio de Fundamentos de Ingeniera de Material;0;;IELE 2010;Pendiente;El curso Materiales para IEE (Ingeniería Eléctrica y Electrónica) está enfocado en mostrar las aplicaciones de productos desde los fundamentos de la ciencia de materiales. El curso pretende dar al estudiante las herramientas para entender la interrelación entre materiales, propiedades, fenómenos, procesos y síntesis. Componentes dinámicas que a lo largo de los procesos emergentes tecnológicos han permitido la evolución de materiales convencionales a activos, la combinación de ello en diseños dando como resultados productos mono y multifuncionales, las cuales han permitido extender sus aplicaciones a múltiples campos como médicos, energéticos, comunicaciones, transporte entre otros. Los objetivos son: Introducir al estudiante a los fundamentos de materiales partiendo de la relación entre estructura, propiedades, fenómenos, procesos y síntesis. Motivar al estudiante a reconocer e identificar materiales en función de especificaciones de productos y/o aplicaciones. 
IELE 2210;Sistemas Electrónicos Digitales;3;ISIS 1221;IELE 2210L;Pendiente;En este curso se abordan las diferentes tecnologías de trabajo en el mundo de los sistemas digitales y se estudian los niveles de diseño funcional, estructural y físico a partir de compuertas, nivel de transferencia de registros (RTL), módulos y funciones. El enfoque de la materia es teórico-práctico, orientado a la formación del estudiante como analizador y diseñador de sistemas electrónicos digitales a diferentes niveles de integración, motivando el desarrollo y utilización de herramientas de diseño y simulación.  Con las metodologías y herramientas actuales es posible abordar el diseño de sistemas complejos de manera rápida y eficiente. Estas herramientas apoyan al diseñador en todas las fases del proceso de diseño, desde su concepción y especificación en alto nivel hasta su implementación física.  Los objetivos del curso son: 1) Identificar circuitos combinacionales o secuenciales en sistemas digitales. 2) Implementar sistemas digitales utilizando diferentes alternativas tecnológicas. 3) Diseñar e implementar sistemas digitales utilizando alternativas metodológicas que dependen del funcionamiento individual de sus componentes y de su interconexión, para dar solución a problemas.  
IELE 2210L;Laboratorio de Sistemas Electrónicos Digitales;0;;IELE 2210;Pendiente;En este curso se abordan las diferentes tecnologías de trabajo en el mundo de los sistemas digitales y se estudian los niveles de diseño funcional, estructural y físico a partir de compuertas, nivel de transferencia de registros (RTL), módulos y funciones. El enfoque de la materia es teórico-práctico, orientado a la formación del estudiante como analizador y diseñador de sistemas electrónicos digitales a diferentes niveles de integración, motivando el desarrollo y utilización de herramientas de diseño y simulación.  Con las metodologías y herramientas actuales es posible abordar el diseño de sistemas complejos de manera rápida y eficiente. Estas herramientas apoyan al diseñador en todas las fases del proceso de diseño, desde su concepción y especificación en alto nivel hasta su implementación física.  Los objetivos del curso son: 1) Identificar circuitos combinacionales o secuenciales en sistemas digitales. 2) Implementar sistemas digitales utilizando diferentes alternativas tecnológicas. 3) Diseñar e implementar sistemas digitales utilizando alternativas metodológicas que dependen del funcionamiento individual de sus componentes y de su interconexión, para dar solución a problemas. 
IELE 1502;Sistemas Dinámicos;3;MATE 1215:FISI 1028: LITE 1622;IELE 1502L;Pendiente;En este curso se aborda el modelamiento, simulación y análisis de sistemas dinámicos lineales de orden reducido utilizando ecuaciones diferenciales, transformada de Laplace y ecuaciones de diferencia. El curso se desarrolla en torno a 5 o 6 proyectos de modelamiento de sistemas reales utilizando sistemas de adquisición de datos en algunos de ellos. En paralelo el estudiante desarrollará la capacidad de trabajar analíticamente con ecuaciones diferenciales lineales y funciones de transferencia, así como la solución analítica y numérica de este tipo de ecuaciones.  El objetivo de este curso es el de desarrollar habilidades para analizar los sistemas dinámicos. Este objetivo se persigue a través la presentación de tres importantes aspectos de los sistemas dinámicos: teoría, ejemplos y aplicaciones.  
IELE 1502L;Laboratorio de Sistemas Dinámicos;0;;IELE 1502;Pendiente;El objetivo de este curso es desarrollar habilidades para analizar los sistemas dinámicos. Este objetivo se persigue a través la presentación de tres importantes aspectos de los sistemas dinámicos: teoría, ejemplos y aplicaciones. 
IELE 2206;Fundamentos de Electrónica;3;IELE 1006:IELE 2010:LITE 1622;IELE 2206L;Pendiente;El curso de Fundamentos de Electrónica tiene por objetivo dar a los estudiantes las herramientas para entender los operación, uso y aplicación de dispositivos de 2 y 3 terminales: diodos y transistores. El curso parte de fundamentos de semiconductores y transporte electrónico para establecer configuraciones de semiconductores, aislantes y conductores donde se controle el flujo de electrones y huecos. Se analizan y estudian las repuestas de estos dispositivos a excitaciones DC y AC, los modelos de gran señal y pequeña señal para el análisis de circuitos, su simbología, caracterización y aplicaciones en conmutación y amplificación.  Los objetivos del curso son: (1) Entender los fundamentos de materiales semiconductores y sus aplicaciones en dispositivos electrónicos  (2) Comprender y aplicar modelos circuitales de diodos, BJT y MOSFET  (3) Analizar circuitos básicos de conmutación y amplificación a partir de los modelos de gran y pequeña señal  y (4) Diseñar e implementar sistemas electrónicos básicos.  Con los conceptos y temas introducidos en el curso se espera que los estudiantes sean capaces de diseñar e implementar sistemas electrónicos básicos.  
IELE 2206L;Laboratorio Fundamentos de Electrónica;0;;IELE 2206;Pendiente;El curso de Fundamentos de Electrónica tiene por objetivo dar a los estudiantes las herramientas para entender los operación, uso y aplicación de dispositivos de 2 y 3 terminales: diodos y transistores. El curso parte de fundamentos de semiconductores y transporte electrónico para establecer configuraciones de semiconductores, aislantes y conductores donde se controle el flujo de electrones y huecos. Se analizan y estudian las repuestas de estos dispositivos a excitaciones DC y AC, los modelos de gran señal y pequeña señal para el análisis de circuitos, su simbología, caracterización y aplicaciones en conmutación y amplificación.  Los objetivos del curso son: (1) Entender los fundamentos de materiales semiconductores y sus aplicaciones en dispositivos electrónicos  (2) Comprender y aplicar modelos circuitales de diodos, BJT y MOSFET  (3) Analizar circuitos básicos de conmutación y amplificación a partir de los modelos de gran y pequeña señal  y (4) Diseñar e implementar sistemas electrónicos básicos.  Con los conceptos y temas introducidos en el curso se espera que los estudiantes sean capaces de diseñar e implementar sistemas electrónicos básicos.  
IELE 2500;Curso de Señales;3;MATE 1215:MATE 1208;IELE 2500L;Pendiente;Los conceptos de señal y sistema están presentes en múltiples campos en ciencia e ingeniería. Este curso se concentra principalmente en métodos de representación de señales que son apropiadas para el estudio de sistemas lineales e invariantes en el tiempo (series y transformadas de Fourier, transformada Z). Se hace un tratamiento paralelo de sistemas de tiempo continuo y discreto, y se introducen conceptos de muestreo que permiten entender las ideas básicas presentes en sistemas que emplean sistemas discretos (digitales) para el procesamiento de señales continuas.  
IELE 2500L;Laboratorio Señales y Sistemas;0;;IELE 2500;Pendiente;Los conceptos de señal y sistema están presentes en múltiples campos en ciencia e ingeniería. Este curso se concentra principalmente en métodos de representación de señales que son apropiadas para el estudio de sistemas lineales e invariantes en el tiempo (series y transformadas de Fourier, transformada Z). Se hace un tratamiento paralelo de sistemas de tiempo continuo y discreto, y se introducen conceptos de muestreo que permiten entender las ideas básicas presentes en sistemas que emplean sistemas discretos (digitales) para el procesamiento de señales continuas. 
IELE 2002;Teoría Electromagnética;3;IELE 1006:MATE 1208:MATE 2210:FISI 1028:FISI 1029;IELE 2002L:IELE 2002T;Pendiente;El curso permite a los estudiantes: 1) Adquirir la habilidad de expresar los fenómenos electromagnéticos en términos de las ecuaciones de Maxwell en régimen armónico o en el dominio de la frecuencia  considerarando las condiciones y las aplicaciones del modelamiento estático de los campos. 2) Comprender la relación de los fenómenos electromagnéticos y su modelamiento en términos de circuitos eléctricos entendiendo las restricciones de este tipo de modelos. 3) Entender los principios físicos de los fenómenos de propagación y radiación electromagnética y sus aplicaciones en telecomunicaciones (radio frecuencias, microondas y óptica): Líneas de transmisión, guías de ondas y antenas. 4) Familiarizarse con el diseño, fabricación y medición de estructuras electromagnéticas a muy altas frecuencias (radio frecuencias (RF) y frecuencias micro-ondas (MW)), a través del desarrollo de prácticas de laboratorio y del desarrollo de un proyecto. 5) Familiarizarse con algunas herramientas de simulación de estructuras electromagnéticas. Por ejemplo: ANSYS HFSS - High Frequency Electromagnetic Field Simulation. 6) Familiarizar al estudiante con la cuantificación (numérica) de las cantidades electromagnéticas, para lo cual se solicitará el desarrollo detallado de problemas donde se realice el cálculo numérico de las cantidades físicas involucradas. Este objetivo será considerado en todas las actividades que se desarrollen en el curso: evaluaciones escritas, tareas, laboratorio, proyectos, etc.  
IELE 2002L;Laboratorio Teoría ElectromagnÉtica;0;;IELE 2002;Pendiente;El curso busca presentar los aspectos básicos para el planeamiento de expansión de sistemas de transmisión y/o de generación entre los que se encuentran: la formulación matemática para el tratamiento del problema técnico, el uso de las herramientas fundamentales para el análisis y evaluación del comportamiento del sistema de potencia ante alternativas de expansión (análisis probabilístico, análisis de contingencias, evaluación de confiabilidad), modelos de proyección de demanda y modelación de la incertidumbre de la misma.  
IELE 2002T;Trabajo Asistido Teoría Electromagnética;0;;IELE 2002;Pendiente;
IELE 2009;Curso de Computación Científica en Ingeniería;3;IELE 1502:ISIS 1221:MATE 2210;IELE 2009L;Pendiente;Este curso sigue un temario clásico de un curso de métodos numéricos, iniciando por los conceptos básicos de la representación de los números en el computador, las bases de la aritmética de punto flotante y los principios de la teoría del error. Seguirá con las herramientas básicas del análisis numérico como son: Sistemas de ecuaciones algebraicas lineales, problemas de valor propio, ecuaciones no lineales y sistemas de ecuaciones no lineales, interpolación y aproximación de funciones, diferenciación e integración de funciones de una o dos variables, integración de ecuaciones diferenciales ordinarias, y algunos problemas seleccionados de ecuaciones diferenciales parciales. La metodología del curso se orienta a presentar la computación científica en el contexto de los problemas en ingeniería eléctrica y electrónica, el desarrollo de habilidades en algoritmia y programación, y el uso fundamentado e intensivo de herramientas o plataformas especializadas como Matlab. 
IELE 2009L;Laboratorio de Computación Científica;0;;IELE 2009;Pendiente;El curso permitirá adquirir las bases de la computación científica en el contexto de la problemática de la ingeniería eléctrica y electrónica, desarrollando habilidades en algoritmia y programación, y en el uso fundamentado e intensivo de herramientas o plataformas especializadas como Matlab.  
IELE 2300;Análisis de Sistemas de Control;3;MATE 1208:FISI 1028:FISI 1029;IELE 2300L;Pendiente;El objetivo de este curso es el desarrollo de competencia y comprensión en el análisis y diseño de sistemas de control (SISO) para procesos en tiempo continuo.  El curso posee tres metas de aprendizaje básicas: 1) Principios de Modelaje y Análisis de Sistemas Dinámicos Continuos, 2) Diseño de sistemas de control SISO lineales e invariantes en el tiempo y 3) Uso de herramientas computacionales de análisis y diseño, y noción de implementación de sistemas de control (proyectos y laboratorio).  
IELE 2300L;Laboratorio Análisis Sistemas de Control;0;;IELE 2300;Pendiente;El objetivo de este curso es el desarrollo de competencia y comprensión en el análisis y diseño de sistemas de control (SISO) para procesos en tiempo continuo.  El curso posee tres metas de aprendizaje básicas: 1) Principios de Modelaje y Análisis de Sistemas Dinámicos Continuos, 2) Diseño de sistemas de control SISO lineales e invariantes en el tiempo y 3) Uso de herramientas computacionales de análisis y diseño, y noción de implementación de sistemas de control (proyectos y laboratorio).  
IELE 2100;Elementos de Sistemas Electricos;3;IELE 1006:MATE 2210:FISI 1028:LITE 1622;IELE 2100L;Pendiente;Introducir al estudiante de Ingeniería Eléctrica y Electrónica en las técnicas de modelación de los componentes de un sistema de potencia eléctrica y en las técnicas de análisis del sistema en su funcionamiento de estado estable. El curso presenta la teoría básica de la conversión electromecánica de energía. Conceptos básicos de potencia activa y reactiva. Transformadores trifásicos y monofásicos, fundamentos de máquinas eléctricas, de inducción y máquina sincrónica. El estudiante al final del curso deberá haber comprendido el significado e importancia de los sistemas eléctricos de potencia y sus características  así como, estar en capacidad de utilizar herramientas computacionales fundamentales para el análisis de un sistema de potencia. Para ello, se enfrentará a situaciones realistas de modelación del sistema.  
IELE 2100L;Laboratorio Elementos de Sistemas Electricos;0;;IELE 2100;Pendiente;Introducir al estudiante de Ingeniería Eléctrica y Electrónica en las técnicas de modelación de los componentes de un sistema de potencia eléctrica y en las técnicas de análisis del sistema en su funcionamiento de estado estable. El curso presenta la teoría básica de la conversión electromecánica de energía. Conceptos básicos de potencia activa y reactiva. Transformadores trifásicos y monofásicos, fundamentos de máquinas eléctricas, de inducción y máquina sincrónica. El estudiante al final del curso deberá haber comprendido el significado e importancia de los sistemas eléctricos de potencia y sus características  así como, estar en capacidad de utilizar herramientas computacionales fundamentales para el análisis de un sistema de potencia. Para ello, se enfrentará a situaciones realistas de modelación del sistema.  
IELE 2402;Comunicaciones;3;IELE 2500:IELE 2002:IIND 2106:LITE 1622:LENG 2999;IELE 2402L;Pendiente;El curso busca que los estudiantes puedan: 1) Definir un sistema de comunicación, identificando sus partes desde punto de vista funcional. 2) Estudiar los sistemas de modulación análogos de onda continua, entendiendo cada sistema clásico AM, FM, PM y sus variantes en relación con el desempeño cuando la señal es atacada por el ruido. 3) Estudiar los sistemas de modulación digital y comparar la relación con la potencia, complejidad, probabilidad de error y comportamiento cuando hay multitrayectoria e interferencia. 4) Estudiar la información y establecer los límites de los sistemas de telecomunicaciones ante la presencia de ruido y la utilización de los códigos para mejorar la calidad de la comunicación.  
IELE 2402L;Laboratorio Comunicaciones;0;;IELE 2402;Pendiente;El curso busca que los estudiantes puedan: 1) Definir un sistema de comunicación, identificando sus partes desde punto de vista funcional. 2) Estudiar los sistemas de modulación análogos de onda continua, entendiendo cada sistema clásico AM, FM, PM y sus variantes en relación con el desempeño cuando la señal es atacada por el ruido. 3) Estudiar los sistemas de modulación digital y comparar la relación con la potencia, complejidad, probabilidad de error y comportamiento cuando hay multitrayectoria e interferencia. 4) Estudiar la información y establecer los límites de los sistemas de telecomunicaciones ante la presencia de ruido y la utilización de los códigos para mejorar la calidad de la comunicación. 
ISIS 3XXX;Electiva Profesional;4;;;Pendiente;
IELE 3XXX;Electiva Profesional;4;;IELE 3XXXL;Pendiente;
IELE 3XXXL;Laboratorio Electiva Profesional;0;;IELE 3XXX;Pendiente;
IELE 3200;Electrónica Análoga;3;IELE 2206:LENG 2999:QUIM 1103:DERE 1300:LITE 1622:MATE 1208;IELE 3200L;Pendiente;El curso tendrá tres etapas, en cada una de las cuales el estudiante podrá desarrollar las siguientes habilidades:  En modelaje: Usar modelos eléctricos que soporten el análisis frecuencial de amplificadores en las diferentes familias tecnológicas Utilizar modelos para análisis frecuencial tanto para amplificadores en circuitos discretos, como para amplificadores en circuitos integrados Plantear modelos circuitales acordes al dominio de solución deseado. Utilizar las ventajas de los diferentes tipos de retro-alimentación.   En análisis: Identificar y analizar los bloques de un circuito de amplificación. Inferir la respuesta de cada una de las etapas de un amplificador multietapa. Describir de manera apropiada el comportamiento en frecuencia de cada uno de los bloques básicos constitutivos de un amplificador. Entender las diferencias en diseño entre  implificadores discretos y amplificadores en circuito integrado.   En diseño: Utilizar amplificadores de varias etapas en la implementación de circuitos que satisfagan especificaciones dadas. Usar amplificadores diferenciales en la solución de problemas específicos. Analizar y diseñar generadores de señales.
IELE 3200L;Laboratorio Electrónica Análoga;0;;IELE 3200;Pendiente;El curso tendrá tres etapas, en cada una de las cuales el estudiante podrá desarrollar las siguientes habilidades:  En modelaje: Usar modelos eléctricos que soporten el análisis frecuencial de amplificadores en las diferentes familias tecnológicas Utilizar modelos para análisis frecuencial tanto para amplificadores en circuitos discretos, como para amplificadores en circuitos integrados Plantear modelos circuitales acordes al dominio de solución deseado. Utilizar las ventajas de los diferentes tipos de retro-alimentación.   En análisis: Identificar y analizar los bloques de un circuito de amplificación. Inferir la respuesta de cada una de las etapas de un amplificador multietapa. Describir de manera apropiada el comportamiento en frecuencia de cada uno de los bloques básicos constitutivos de un amplificador. Entender las diferencias en diseño entre  implificadores discretos y amplificadores en circuito integrado.   En diseño: Utilizar amplificadores de varias etapas en la implementación de circuitos que satisfagan especificaciones dadas. Usar amplificadores diferenciales en la solución de problemas específicos. Analizar y diseñar generadores de señales.  
IELE 3006;Optimización;3;IELE 1006:IELE 1400:IELE 2009:DERE 1300:QUIM 1103:IIND 2106:LENG 2999;IELE 3006L;Pendiente;Este curso es una introducción a las técnicas de optimización que usualmente se requiere emplear al solucionar problemas en diversas áreas de ingeniería. Se cubrirán problemas de optimización sin restricciones y los principales métodos de solución para este tipo de problemas. Se estudiara programación lineal, incluyendo el método simplex y aplicaciones a problemas de transporte y flujo. Finalmente se introducirán conceptos básicos de programación no lineal con restricciones. A lo largo del curso, se asignarán tareas en las cuales el estudiante tendrá la oportunidad de aplicar las técnicas estudiadas a problemas prácticos en ingeniería eléctrica y electrónica.  
IELE 3006L;Laboratorio Optimización;0;;IELE 3006;Pendiente;Este curso es una introducción a las técnicas de optimización que usualmente se requiere emplear al solucionar problemas en diversas áreas de ingeniería. Se cubrirán problemas de optimización sin restricciones y los principales métodos de solución para este tipo de problemas. Se estudiara programación lineal, incluyendo el método simplex y aplicaciones a problemas de transporte y flujo. Finalmente se introducirán conceptos básicos de programación no lineal con restricciones. A lo largo del curso, se asignarán tareas en las cuales el estudiante tendrá la oportunidad de aplicar las técnicas estudiadas a problemas prácticos en ingeniería eléctrica y electrónica. 
